,co2_emissions_tonnes_per_person,poverty_percent_people_below_550_a_day,sp_dyn_le00_in,gini,at_least_basic_sanitation_overall_access_percent,energy_use_per_person,sugar_per_person_g_per_day,gdppercapita_us_inflation_adjusted,smoking_adults_percent_of_population_over_age_15,hepb3_immunized_percent_of_one_year_olds,suicide_per_100000_people,working_hours_per_week,literacy_rate_adult_total_percent_of_people_ages_15_and_above,corruption_perception_index_cpi,government_health_spending_per_person_us,food_supply_kilocalories_per_person_and_day,long_term_unemployment_rate_percent,total_health_spending_per_person_us,alcohol_consumption_per_adult_15plus_litres,at_least_basic_water_source_overall_access_percent
Afghanistan,0.299,,64.0,36.8,39.2,,24.5,618.0,,66.0,,,39.0,15.0,4.39,2090.0,,37.7,0.03,63.0
Albania,1.96,39.1,78.5,29.0,97.7,808.0,131.0,4870.0,22.4,99.0,3.08,40.3,96.8,38.0,94.0,3190.0,6.09,241.0,7.29,91.4
Algeria,3.72,29.2,76.3,27.6,87.5,1320.0,78.2,4830.0,15.2,95.0,,43.7,72.7,33.0,139.0,3300.0,2.15,178.0,0.69,93.5
Andorra,5.83,,,40.0,100.0,,,43900.0,32.9,99.0,,,,,2170.0,,,3100.0,10.2,100.0
Angola,1.29,79.4,61.8,42.6,39.4,545.0,44.7,3480.0,,86.0,,,70.4,19.0,102.0,2470.0,1.56,123.0,5.57,41.0
Antigua and Barbuda,5.38,,76.5,40.0,87.5,1600.0,90.1,13600.0,,99.0,2.4,,99.0,,490.0,2420.0,,690.0,8.17,96.7
Argentina,4.75,7.8,76.7,42.4,94.8,2020.0,132.0,10400.0,30.0,93.0,6.47,37.7,97.9,39.0,405.0,3230.0,1.14,742.0,9.35,99.6
Armenia,1.9,43.5,74.8,32.6,91.6,1020.0,97.4,4220.0,29.6,95.0,1.85,37.9,99.6,35.0,54.2,2930.0,5.4,134.0,13.7,98.9
Australia,15.4,0.7,82.5,32.3,100.0,5480.0,126.0,55900.0,24.8,92.0,11.6,33.4,,77.0,3250.0,3280.0,1.17,4780.0,10.2,100.0
Austria,6.8,0.9,81.6,30.5,100.0,3800.0,124.0,49100.0,43.3,83.0,9.75,35.4,,75.0,3840.0,3770.0,1.44,4960.0,12.4,100.0
Azerbaijan,3.94,7.8,72.1,32.4,89.3,1500.0,50.5,5810.0,,48.0,0.648,36.9,99.8,31.0,67.3,3120.0,2.17,332.0,13.3,84.4
Bahamas,6.32,,75.8,43.7,92.0,2070.0,107.0,26500.0,,95.0,0.623,,,65.0,791.0,2670.0,,1740.0,8.65,97.8
Bahrain,23.4,,77.0,40.0,100.0,10600.0,,22100.0,14.6,99.0,0.541,,94.6,36.0,634.0,,,864.0,4.19,100.0
Bangladesh,0.45899999999999996,84.5,72.8,32.4,46.9,222.0,22.1,1090.0,25.6,96.0,,46.9,57.7,28.0,58.0,2450.0,0.556,,0.17,97.3
Barbados,4.49,,76.1,43.8,96.5,1450.0,160.0,16500.0,10.8,91.0,6.49,,,68.0,652.0,2940.0,,1000.0,6.42,98.1
Belarus,6.69,0.7,74.1,27.0,94.3,2930.0,107.0,6380.0,42.6,98.0,29.5,35.1,99.6,44.0,248.0,3250.0,1.22,320.0,18.9,98.0
Belgium,8.32,0.2,81.4,27.7,99.5,4690.0,144.0,46100.0,27.1,97.0,13.3,36.7,,75.0,3450.0,3730.0,2.01,4620.0,10.4,100.0
Belize,1.41,55.6,70.6,53.3,87.2,597.0,116.0,4320.0,,95.0,8.99,43.0,70.3,,150.0,2750.0,2.29,239.0,5.92,97.1
Benin,0.614,90.6,61.2,47.8,13.9,417.0,21.4,860.0,,85.0,,41.6,28.7,39.0,15.0,2620.0,,31.0,2.08,67.0
Bhutan,1.29,38.6,70.6,37.4,62.9,355.0,,2960.0,,95.0,,,52.8,67.0,94.2,,0.767,109.0,0.54,97.6
Bolivia,1.93,25.0,69.5,44.6,52.6,789.0,75.2,2520.0,31.7,82.0,,43.2,91.2,33.0,60.6,2260.0,0.581,96.5,5.78,92.9
Bosnia and Herzegovina,6.23,3.8,77.1,32.7,94.8,2190.0,55.3,5560.0,42.3,88.0,6.17,40.9,98.0,38.0,307.0,3150.0,7.9,499.0,9.6,97.7
Botswana,3.24,57.5,67.6,60.5,60.0,1250.0,85.0,7520.0,,93.0,,43.0,85.1,61.0,446.0,2330.0,,615.0,6.97,79.2
Brazil,2.59,19.4,75.7,51.3,86.1,1480.0,117.0,10900.0,,96.0,3.81,38.4,90.4,37.0,466.0,3260.0,,990.0,10.1,97.5
Brunei,22.1,,77.4,40.0,96.3,8630.0,135.0,31400.0,,93.0,1.71,46.6,95.5,62.0,748.0,2990.0,3.0,882.0,1.86,99.5
Bulgaria,5.87,8.7,74.8,37.4,86.0,2480.0,78.7,8310.0,37.7,96.0,6.85,40.0,98.3,43.0,237.0,2830.0,2.08,435.0,11.4,99.3
Burkina Faso,0.162,92.3,60.8,35.3,22.5,,20.3,689.0,16.6,91.0,,46.3,28.7,42.0,20.3,2720.0,,39.8,7.32,53.9
Burundi,0.0445,96.8,57.9,38.6,50.5,,,213.0,,96.0,,,87.0,22.0,7.91,,,20.7,9.65,55.9
Cambodia,0.43799999999999994,,69.3,42.0,48.8,417.0,51.5,1140.0,23.6,94.0,,45.3,73.9,21.0,16.8,2480.0,0.13,45.2,4.71,75.0
Cameroon,0.315,69.0,58.6,46.6,38.8,342.0,27.2,1500.0,7.4,66.0,,,71.3,25.0,18.2,2670.0,1.22,61.3,7.9,65.3
Canada,15.1,1.0,82.5,31.1,98.5,7600.0,132.0,51300.0,21.6,70.0,10.2,32.4,,82.0,3680.0,3490.0,0.6729999999999999,5220.0,10.2,98.9
Cape Verde,0.9329999999999999,53.1,73.0,47.2,65.2,212.0,52.9,3540.0,,90.0,,,84.9,55.0,116.0,2610.0,2.54,155.0,4.98,86.5
Central African Republic,0.0666,92.8,52.9,56.2,25.1,,22.4,335.0,,54.0,,,56.6,23.0,6.44,1880.0,,18.2,3.17,54.1
Chad,0.0538,86.2,53.2,43.3,9.55,,29.1,823.0,9.4,22.0,,,35.4,20.0,7.65,2110.0,,30.6,4.39,42.5
Chile,4.69,10.1,79.7,47.7,99.9,2030.0,131.0,15100.0,37.9,94.0,6.05,40.3,98.5,67.0,456.0,2980.0,0.9420000000000001,947.0,8.81,100.0
China,7.4,27.2,76.4,39.1,75.0,2240.0,18.8,7330.0,31.8,99.0,,46.1,95.1,41.0,118.0,3110.0,,221.0,5.56,95.8
Colombia,1.76,28.5,74.6,50.8,84.4,712.0,160.0,7600.0,,85.0,3.73,43.4,93.6,37.0,343.0,2800.0,1.15,472.0,6.59,96.5
Comoros,0.203,63.5,63.9,45.3,34.2,63.9,,770.0,20.7,83.0,,,75.5,27.0,22.3,,,33.2,0.28,83.7
"Congo, Dem. Rep.",0.0634,97.8,60.0,42.1,19.7,390.0,,409.0,8.1,70.0,,34.6,61.2,21.0,6.7,,,15.8,3.39,41.8
"Congo, Rep.",0.635,82.4,65.1,48.9,15.0,540.0,48.4,2580.0,6.6,90.0,,,,21.0,33.8,2210.0,,72.3,,68.3
Costa Rica,1.63,10.7,80.0,48.7,97.1,1030.0,144.0,9790.0,16.8,84.0,6.54,43.2,96.3,59.0,553.0,2850.0,0.934,811.0,5.81,99.7
Cote d'Ivoire,0.49,82.2,54.1,41.5,29.9,616.0,28.2,1630.0,9.0,62.0,,45.7,56.9,36.0,12.9,2800.0,0.537,59.8,6.47,73.1
Croatia,3.96,5.5,77.8,31.1,97.5,1900.0,118.0,15200.0,34.0,97.0,11.4,38.9,98.9,49.0,905.0,3060.0,2.87,1070.0,15.0,99.6
Cuba,3.05,,79.9,43.4,90.8,1020.0,146.0,6440.0,35.9,96.0,17.2,41.0,99.8,47.0,555.0,3410.0,0.401,607.0,5.12,95.2
Cyprus,5.26,0.2,80.7,34.0,99.4,1710.0,101.0,29400.0,,96.0,3.75,38.3,98.7,57.0,708.0,2650.0,2.2,1710.0,8.84,100.0
Czech Republic,9.1,0.4,79.5,25.9,99.1,3860.0,118.0,22800.0,31.0,99.0,10.0,39.2,,57.0,1240.0,3260.0,0.807,1480.0,16.5,99.9
Denmark,5.91,0.5,81.0,28.2,99.6,2820.0,152.0,61600.0,33.4,,7.59,34.6,,88.0,5470.0,3370.0,1.14,6420.0,12.0,100.0
Djibouti,0.792,74.8,62.6,44.1,51.4,177.0,93.0,1330.0,,87.0,,,,31.0,59.8,2610.0,,91.7,1.87,76.9
Dominica,1.86,,76.6,40.0,77.9,606.0,113.0,6560.0,,98.0,7.62,,,57.0,292.0,2930.0,,419.0,8.68,96.5
Dominican Republic,2.07,21.0,74.0,45.3,82.7,734.0,95.3,7150.0,15.4,80.0,3.01,40.8,90.1,29.0,140.0,2610.0,0.58,323.0,6.28,94.5
Ecuador,2.76,23.9,76.6,45.0,86.1,892.0,63.3,5270.0,14.9,98.0,5.2,37.9,91.6,32.0,122.0,2340.0,0.493,328.0,9.43,92.6
Egypt,2.2,61.9,71.7,31.8,93.2,815.0,78.0,2790.0,15.1,96.0,0.0578,43.6,73.0,32.0,46.1,3520.0,3.14,123.0,0.32,98.4
El Salvador,1.0,30.7,73.8,40.0,91.1,647.0,113.0,3460.0,,90.0,8.42,42.1,84.5,33.0,146.0,2580.0,,237.0,3.99,93.0
Equatorial Guinea,4.73,,57.9,40.0,74.5,2120.0,,11500.0,,,,,94.2,17.0,681.0,,,896.0,6.12,49.6
Eritrea,0.147,,65.5,40.0,11.3,170.0,,514.0,9.1,99.0,,,68.9,20.0,5.74,,,11.9,1.64,19.3
Estonia,14.8,2.0,77.6,32.7,99.6,4170.0,86.5,19000.0,38.8,94.0,12.4,38.7,99.8,71.0,671.0,3250.0,1.46,853.0,17.2,99.6
Ethiopia,0.11900000000000001,84.7,65.9,39.1,7.08,497.0,18.1,550.0,4.3,51.0,,33.0,39.0,35.0,8.41,2130.0,0.589,15.7,4.1,39.1
Fiji,1.32,48.6,70.4,36.7,95.7,628.0,104.0,4320.0,14.4,99.0,,,,,108.0,2940.0,1.1,154.0,2.76,93.7
Finland,8.66,0.2,81.4,27.1,99.4,5920.0,86.8,47100.0,28.1,,12.7,36.1,,85.0,2990.0,3370.0,1.57,3980.0,13.1,100.0
France,4.72,0.2,82.5,32.7,98.7,3690.0,107.0,42600.0,31.7,65.0,10.7,36.3,,70.0,3650.0,3480.0,2.6,4690.0,12.5,100.0
Gabon,2.77,32.4,66.5,38.0,40.9,2710.0,42.6,9440.0,,45.0,,,89.0,32.0,160.0,2830.0,,302.0,9.46,87.5
Gambia,0.268,72.5,61.4,35.9,41.7,86.4,72.2,534.0,16.2,96.0,,49.9,51.1,30.0,13.3,2630.0,2.12,26.1,3.58,80.1
Georgia,2.25,45.5,73.4,36.5,84.9,1180.0,93.1,4290.0,31.9,92.0,4.14,,99.7,56.0,64.2,2910.0,4.02,272.0,6.66,93.3
Germany,8.83,0.2,81.0,31.7,99.2,3820.0,133.0,46700.0,31.6,93.0,8.53,35.2,,81.0,3600.0,3500.0,1.13,4670.0,12.1,100.0
Ghana,0.537,60.5,63.0,42.4,14.3,335.0,40.5,1810.0,5.5,91.0,,35.1,71.5,40.0,39.9,3020.0,1.49,67.0,3.11,77.8
Greece,5.98,6.7,81.4,36.0,99.0,2180.0,80.3,23000.0,51.8,95.0,3.69,41.0,97.3,48.0,1620.0,3400.0,7.68,2730.0,11.0,100.0
Grenada,2.28,,73.8,40.0,78.3,782.0,112.0,8960.0,,94.0,2.92,,,52.0,198.0,2450.0,,439.0,10.7,95.6
Guatemala,1.15,48.8,73.7,48.3,67.4,830.0,132.0,3120.0,14.4,85.0,0.904,43.3,75.9,28.0,68.7,2420.0,0.321,197.0,7.1,93.6
Guinea,0.207,92.3,60.6,33.7,22.0,,27.2,823.0,,59.0,,,25.3,27.0,2.6,2570.0,,23.0,0.79,67.4
Guinea-Bissau,0.157,93.4,57.8,50.7,21.5,65.7,30.3,605.0,,76.0,,,55.3,17.0,4.7,2290.0,,46.9,3.9,69.2
Guyana,2.63,56.4,66.8,43.2,86.2,669.0,118.0,3870.0,,93.0,1.71,,85.0,38.0,136.0,2760.0,,159.0,8.7,95.1
Haiti,0.271,77.6,63.6,50.9,30.5,393.0,45.8,729.0,,,,,48.7,22.0,9.95,2090.0,,46.4,5.92,64.2
Holy See,,,,40.0,,,,,,,,,,,,,,,,
Honduras,1.08,50.4,73.8,50.1,79.8,608.0,131.0,2210.0,,98.0,,39.0,85.1,29.0,89.2,2640.0,0.196,135.0,4.43,92.2
Hungary,4.29,2.7,76.1,30.4,98.0,2430.0,95.0,15600.0,39.8,,12.7,38.8,99.0,45.0,654.0,3040.0,1.18,942.0,16.1,100.0
Iceland,6.04,0.2,82.2,27.8,98.8,17500.0,132.0,49900.0,26.3,,11.2,39.8,,77.0,3000.0,3380.0,0.315,3720.0,7.38,100.0
India,1.73,86.8,68.8,35.1,44.2,637.0,64.2,1960.0,18.6,47.0,,,62.8,40.0,15.8,2460.0,,54.3,2.69,87.6
Indonesia,1.82,58.6,69.4,38.2,67.9,884.0,46.5,4130.0,35.4,63.0,,39.9,92.8,37.0,37.7,2780.0,0.66,76.9,0.56,89.5
Iran,8.28,10.5,76.2,38.8,88.3,3020.0,79.8,6950.0,17.6,99.0,,45.1,85.0,30.0,127.0,3090.0,2.7,317.0,1.03,94.9
Iraq,4.81,57.3,70.0,29.5,85.7,1410.0,52.8,5550.0,14.2,76.0,,,78.5,18.0,200.0,2550.0,,247.0,0.47,86.1
Ireland,7.27,0.7,82.0,31.8,92.2,2820.0,126.0,74400.0,26.3,95.0,9.92,36.1,,74.0,2930.0,3600.0,2.01,4240.0,14.9,98.9
Israel,8.13,4.5,82.6,41.4,100.0,2780.0,76.2,34100.0,24.6,99.0,4.07,36.0,91.8,62.0,1320.0,3610.0,0.368,2180.0,2.52,100.0
Italy,5.38,3.5,83.2,35.4,99.3,2480.0,88.0,34900.0,26.1,96.0,4.69,36.7,99.0,50.0,2520.0,3580.0,3.44,3250.0,9.72,100.0
Jamaica,2.59,29.5,76.1,45.5,85.4,981.0,135.0,4800.0,15.0,99.0,0.385,43.0,87.0,44.0,132.0,2750.0,,247.0,5.17,92.9
Japan,9.47,1.0,84.1,32.1,100.0,3430.0,74.2,48600.0,29.4,,14.5,38.9,,73.0,3360.0,2730.0,0.722,4070.0,7.79,98.9
Jordan,3.0,18.1,74.5,33.7,96.7,929.0,128.0,3240.0,36.5,98.0,0.507,,95.9,48.0,242.0,3100.0,,357.0,0.65,98.6
Kazakhstan,14.2,7.7,73.0,26.9,97.8,4430.0,78.4,10900.0,26.6,99.0,16.4,38.0,99.7,31.0,234.0,3260.0,0.882,393.0,11.1,91.1
Kenya,0.31,86.5,67.3,40.8,29.8,513.0,43.7,1170.0,14.7,88.0,,39.7,72.2,28.0,16.3,2210.0,,36.9,3.88,58.5
Kiribati,0.564,69.4,66.5,37.0,39.8,114.0,122.0,1710.0,,95.0,,,,,131.0,3040.0,,160.0,2.7,64.4
Kuwait,25.2,,74.8,40.0,100.0,8960.0,106.0,33500.0,,99.0,1.47,,93.9,39.0,983.0,3500.0,,1220.0,0.1,100.0
Kyrgyz Republic,1.66,67.1,71.2,26.8,96.6,650.0,86.3,1070.0,24.7,96.0,7.55,37.2,99.2,29.0,30.1,2820.0,1.8,53.5,4.72,87.3
Lao,0.297,85.0,67.0,36.4,72.6,,19.7,1730.0,40.5,78.0,,41.5,72.7,29.0,15.4,2450.0,1.02,46.2,6.99,80.4
Latvia,3.46,4.0,74.7,34.2,92.9,2180.0,117.0,15600.0,39.4,91.0,15.5,38.9,99.8,58.0,439.0,3170.0,2.4,718.0,13.4,98.6
Lebanon,4.3,2.0,79.8,31.8,95.4,1340.0,123.0,7200.0,18.1,81.0,,,89.6,28.0,255.0,3070.0,,651.0,2.3,92.3
